25, -30, -75, 30, -30, -20,
24.5845, -29.4262, -74.357, 30.1979, -29.9852, -19.7873,
24.6019, -29.524, -73.67, 30.2108, -30.0933, -19.0757,
24.6275, -29.4435, -73.4811, 30.4652, -30.1672, -18.1339,
24.3557, -29.2756, -72.5471, 30.5524, -30.1655, -17.9998,
24.6491, -28.9218, -71.8906, 30.8845, -29.6702, -17.9543,
24.8921, -28.4348, -71.2876, 30.4208, -29.3468, -17.8106,
24.7371, -28.5505, -70.5277, 29.8958, -29.3122, -17.4817,
25.0734, -28.8499, -70.0442, 29.2538, -28.9649, -17.3063,
24.645, -28.8931, -69.7283, 28.4594, -29.0142, -17.5917,
24.3845, -28.3301, -69.0031, 28.619, -29.1505, -17.8046,
24.0945, -27.9776, -68.2231, 28.7361, -28.7466, -17.8842,
24.0321, -27.5673, -67.5245, 28.7095, -28.8774, -17.3168,
23.5985, -26.9823, -67.0367, 28.9165, -28.4618, -17.1895,
23.4856, -26.7987, -66.1657, 29.2096, -28.2273, -16.957,
23.1566, -26.4074, -65.6923, 28.8294, -28.6557, -16.5251,
22.9809, -25.5001, -65.5434, 29.1141, -28.4528, -16.4868,
23.1586, -24.8924, -65.1851, 28.5473, -28.478, -16.8726,
23.217, -24.4133, -64.3973, 28.8461, -28.4216, -17.105,
23.5983, -24.0475, -64.3688, 28.3023, -27.7703, -17.0978,
23.6393, -23.3264, -64.2598, 28.6035, -27.2941, -17.484,
23.8144, -22.5892, -64.1379, 28.464, -26.7745, -17.1354,
24.3261, -22.0115, -63.9877, 28.8607, -26.9882, -17.5583,
24.2767, -21.2464, -63.5116, 29.096, -27.1288, -17.226,
23.8447, -20.5842, -63.0114, 29.4106, -27.0917, -17.3823,
23.7255, -20.0353, -62.3019, 29.4957, -26.7747, -17.653,
24.0059, -19.4826, -61.7049, 29.3106, -27.0602, -17.274,
23.9308, -19.1528, -60.977, 28.7297, -26.9365, -17.2189,
23.6801, -19.152, -60.3023, 28.2342, -26.4503, -17.2283,
24.1119, -19.5789, -59.7975, 28.0959, -26.2471, -17.7903,
24.3801, -19.6045, -58.8499, 28.2072, -26.1406, -17.8666,
24.4025, -19.7551, -58.2212, 28.5763, -25.5903, -18.244,
23.7547, -19.8153, -57.6658, 28.2859, -25.3844, -18.6203,
23.9771, -19.3574, -57.3793, 28.8128, -24.9008, -19.004,
23.8014, -19.2791, -56.6446, 28.6674, -24.3447, -18.6992,
24.2522, -19.1739, -55.8149, 28.4562, -24.1875, -18.532,
24.5536, -19.5319, -55.1374, 28.0555, -24.5397, -18.7253,
24.282, -20.0214, -54.4076, 27.9579, -24.503, -18.347,
24.5913, -19.5137, -53.8305, 27.6059, -24.6609, -17.9412,
24.3981, -19.2511, -53.1527, 27.5597, -24.0963, -18.2777,
23.7218, -19.6015, -52.5792, 27.6577, -24.3343, -18.1209,
23.3263, -18.8992, -52.0948, 27.9547, -24.2937, -17.9599,
22.8503, -18.3893, -51.4397, 27.7126, -24.4313, -17.8777,
22.4909, -18.2858, -50.6941, 27.5003, -24.0067, -17.5969,
22.6836, -17.8681, -49.9662, 27.6534, -23.7202, -17.2058,
22.2303, -18.1622, -49.3844, 27.3128, -23.6042, -16.7157,
22.2518, -17.6099, -48.7456, 27.2485, -23.1233, -16.49,
21.8434, -18.0379, -48.1965, 26.9028, -22.6844, -16.6809,
22.2219, -17.5139, -47.6046, 26.5197, -22.4367, -16.8351,
22.3435, -17.0729, -47.2586, 25.8873, -22.8985, -17.0755,
21.8583, -17.4296, -46.7129, 25.8393, -22.8505, -17.6541,
21.5428, -17.2514, -45.9649, 25.7407, -22.3242, -17.5039,
