-95,-92,-94,-94,-94,-94
-85,-82,-84,-84,-84,-84
-75,-72,-74,-74,-74,-74
-65,-62,-64,-64,-64,-64
-55,-52,-54,-54,-54,-54
-45,-42,-44,-44,-44,-44
-35,-32,-34,-34,-34,-35
-25,-22,-24,-24,-24,-24
-16,-12,-14,-15,-15,-15
-3,-5,-5,-6,-2,-4
10,10,9,6,7,8
20,20,20,14,20,20
30,30,30,25,30,30
41,37,40,35,38,38
50,50,50,45,48,49
60,60,60,55,58,59
70,70,70,65,68,69
80,80,80,75,78,79
90,90,90,85,88,89
